source,path,category,root_speed,airborne_frac,pelvis_low_frac,upper_lower_ratio,limb_energy
AMASS,../egodata/downloads/amass/extracted/BMLrub/BioMotionLab_NTroje/rub056/0017_lifting_light1_poses.npz,Basic Locomotion,1.394,0.0,0.018,1.224,5.3
AMASS,../egodata/downloads/amass/extracted/GRAB/GRAB/s6/spherelarge_pick_all_stageii.npz,Upper-Body Manipulation,0.027,0.0,0.0,2.697,0.28
AMASS,../egodata/downloads/amass/extracted/CMU/CMU/80/80_44_stageii.npz,Upper-Body Manipulation,0.123,0.0,0.0,7.282,3.17
AMASS,../egodata/downloads/amass/extracted/ACCAD/Male1Walking_c3d/Walk B4 - Stand to Walk Back_poses.npz,Basic Locomotion,0.901,0.0,0.0,0.994,2.74
AMASS,../egodata/downloads/amass/extracted/EyesJapanDataset/Eyes_Japan_Dataset/hamada/gesture_etc-49-taiko_under-hamada_stageii.npz,Upper-Body Manipulation,0.015,0.0,0.0,3.689,0.61
AMASS,../egodata/downloads/amass/extracted/KIT/KIT/205/walking_slow03_stageii.npz,Basic Locomotion,0.334,0.0,0.0,1.037,0.48
AMASS,../egodata/downloads/amass/extracted/SFU/SFU/0017/0017_RunningOnBench001_stageii.npz,Agility / High-Dynamic,1.058,0.369,0.0,1.112,4.69
AMASS,../egodata/downloads/amass/extracted/WEIZMANN/WEIZMANN/66/Mixed_FastSlow(23)_stageii.npz,Basic Locomotion,0.861,0.0,0.0,1.036,2.08
AMASS,../egodata/downloads/amass/extracted/BMLhandball/BMLhandball/S02_Novice/Trial_upper_right_210_poses.npz,Upper-Body Manipulation,0.265,0.0,0.0,3.234,2.09
AMASS,../egodata/downloads/amass/extracted/KIT/KIT/167/turn_left06_stageii.npz,Basic Locomotion,0.421,0.0,0.0,1.072,1.07
AMASS,../egodata/downloads/amass/extracted/KIT/KIT/3/walking_upstairs04_stageii.npz,Agility / High-Dynamic,0.171,0.692,0.0,1.109,0.43
AMASS,../egodata/downloads/amass/extracted/GRAB/GRAB/s8/waterbottle_pick_all_stageii.npz,Upper-Body Manipulation,0.028,0.0,0.0,3.093,0.2
AMASS,../egodata/downloads/amass/extracted/KIT/KIT/378/push_recovery_right04_stageii.npz,Basic Locomotion,0.449,0.0,0.0,1.131,0.91
AMASS,../egodata/downloads/amass/extracted/BMLrub/BioMotionLab_NTroje/rub095/0025_kicking1_poses.npz,Basic Locomotion,0.197,0.0,0.0,1.495,4.1
AMASS,../egodata/downloads/amass/extracted/KIT/KIT/3/push_from_the_right_side17_stageii.npz,Basic Locomotion,0.108,0.0,0.0,1.272,0.71
AMASS,../egodata/downloads/amass/extracted/CMU/CMU/88/88_11_stageii.npz,Agility / High-Dynamic,0.258,0.008,0.14,5.446,8.63
AMASS,../egodata/downloads/amass/extracted/MoSh/MoSh/50020/shake_hips_stageii.npz,Upper-Body Manipulation,0.083,0.0,0.0,2.442,1.52
AMASS,../egodata/downloads/amass/extracted/KIT/KIT/675/double_pour_and_mixing14_stageii.npz,Basic Locomotion,0.126,0.0,0.0,1.849,0.61
AMASS,../egodata/downloads/amass/extracted/KIT/KIT/1346/Experiment3_subject1346_wash_leg_position_horizontal_02_stageii.npz,Basic Locomotion,0.03,0.0,0.0,1.759,0.27
AMASS,../egodata/downloads/amass/extracted/BMLrub/BioMotionLab_NTroje/rub028/0013_knocking1_poses.npz,Basic Locomotion,1.362,0.0,0.0,1.229,5.27
AMASS,../egodata/downloads/amass/extracted/KIT/KIT/3/golf_putting05_stageii.npz,Upper-Body Manipulation,0.093,0.0,0.0,7.617,0.51
AMASS,../egodata/downloads/amass/extracted/BMLrub/BioMotionLab_NTroje/rub012/0021_catching_and_throwing_poses.npz,Upper-Body Manipulation,0.076,0.0,0.0,7.347,2.03
AMASS,../egodata/downloads/amass/extracted/BMLrub/BioMotionLab_NTroje/rub079/0013_knocking1_poses.npz,Basic Locomotion,1.085,0.0,0.0,1.284,3.5
AMASS,../egodata/downloads/amass/extracted/BMLrub/BioMotionLab_NTroje/rub112/0016_sitting2_poses.npz,Basic Locomotion,0.916,0.0,0.358,1.349,3.68
AMASS,../egodata/downloads/amass/extracted/BMLmovi/BMLmovi/Subject_5_F_MoSh/Subject_5_F_1_poses.npz,Agility / High-Dynamic,0.165,0.0,0.0,1.912,10.9
AMASS,../egodata/downloads/amass/extracted/BMLrub/BioMotionLab_NTroje/rub048/0030_scamper_poses.npz,Agility / High-Dynamic,0.269,0.162,0.236,1.606,4.36
AMASS,../egodata/downloads/amass/extracted/WEIZMANN/WEIZMANN/67/Slow_Fig8(1)_stageii.npz,Basic Locomotion,0.399,0.0,0.0,0.969,0.97
AMASS,../egodata/downloads/amass/extracted/EyesJapanDataset/Eyes_Japan_Dataset/takiguchi/gesture_etc-20-swing_chair-takiguchi_stageii.npz,Basic Locomotion,0.052,0.0,0.305,1.831,0.81
AMASS,../egodata/downloads/amass/extracted/ACCAD/Male2MartialArtsPunches_c3d/E14 - body cross left t2_poses.npz,Upper-Body Manipulation,0.299,0.0,0.0,3.514,4.85
AMASS,../egodata/downloads/amass/extracted/GRAB/GRAB/s2/flute_pass_1_stageii.npz,Upper-Body Manipulation,0.123,0.0,0.0,2.452,0.32
AMASS,../egodata/downloads/amass/extracted/GRAB/GRAB/s9/cylinderlarge_inspect_1_stageii.npz,Upper-Body Manipulation,0.134,0.0,0.0,2.267,0.58
AMASS,../egodata/downloads/amass/extracted/BMLmovi/BMLmovi/Subject_37_F_MoSh/Subject_37_F_13_poses.npz,Agility / High-Dynamic,0.198,0.0,0.0,1.532,8.08
AMASS,../egodata/downloads/amass/extracted/EyesJapanDataset/Eyes_Japan_Dataset/hamada/pose-14-look_up-hamada_stageii.npz,Basic Locomotion,0.049,0.0,0.0,1.94,0.26
AMASS,../egodata/downloads/amass/extracted/KIT/KIT/424/turn_left09_stageii.npz,Basic Locomotion,0.416,0.0,0.0,1.072,0.72
AMASS,../egodata/downloads/amass/extracted/KIT/KIT/674/shower_left_arm03_stageii.npz,Upper-Body Manipulation,0.077,0.0,0.0,7.015,0.45
AMASS,../egodata/downloads/amass/extracted/BMLrub/BioMotionLab_NTroje/rub114/0024_kicking1_poses.npz,Basic Locomotion,0.413,0.0,0.0,1.486,6.05
AMASS,../egodata/downloads/amass/extracted/BMLrub/BioMotionLab_NTroje/rub076/0021_catching_and_throwing_poses.npz,Upper-Body Manipulation,0.223,0.0,0.0,5.155,2.29
AMASS,../egodata/downloads/amass/extracted/CMU/CMU/73/73_02_stageii.npz,Basic Locomotion,0.423,0.0,0.0,0.949,0.88
AMASS,../egodata/downloads/amass/extracted/KIT/KIT/674/wipe_back01_stageii.npz,Upper-Body Manipulation,0.159,0.0,0.0,2.399,0.65
AMASS,../egodata/downloads/amass/extracted/CMU/CMU/64/64_21_stageii.npz,Upper-Body Manipulation,0.085,0.0,0.0,2.448,1.01
AMASS,../egodata/downloads/amass/extracted/WEIZMANN/WEIZMANN/68/Normal_StraightLong(12)_stageii.npz,Agility / High-Dynamic,0.578,0.0,0.037,1.273,23.51
AMASS,../egodata/downloads/amass/extracted/KIT/KIT/317/walking_medium03_stageii.npz,Basic Locomotion,0.631,0.0,0.0,1.009,0.81
AMASS,../egodata/downloads/amass/extracted/EyesJapanDataset/Eyes_Japan_Dataset/shiono/walk-10-shoulder_bag-shiono_stageii.npz,Basic Locomotion,0.377,0.0,0.0,1.043,1.63
AMASS,../egodata/downloads/amass/extracted/KIT/KIT/348/walking_slow07_stageii.npz,Basic Locomotion,0.372,0.0,0.0,0.95,0.48
AMASS,../egodata/downloads/amass/extracted/BMLhandball/BMLhandball/S05_Novice/Trial_upper_right_130_poses.npz,Upper-Body Manipulation,0.093,0.0,0.0,4.668,1.85
AMASS,../egodata/downloads/amass/extracted/WEIZMANN/WEIZMANN/66/Mixed_FastSlow(28)_stageii.npz,Basic Locomotion,0.795,0.0,0.0,1.002,1.49
AMASS,../egodata/downloads/amass/extracted/KIT/KIT/359/upstairs02_stageii.npz,Agility / High-Dynamic,0.186,0.642,0.0,1.029,0.57
AMASS,../egodata/downloads/amass/extracted/BMLrub/BioMotionLab_NTroje/rub109/0014_knocking2_poses.npz,Basic Locomotion,1.348,0.0,0.0,1.127,4.32
AMASS,../egodata/downloads/amass/extracted/BMLrub/BioMotionLab_NTroje/rub027/0018_lifting_light2_poses.npz,Basic Locomotion,1.174,0.0,0.0,1.402,4.85
AMASS,../egodata/downloads/amass/extracted/BMLmovi/BMLmovi/Subject_65_F_MoSh/Subject_65_F_11_poses.npz,Upper-Body Manipulation,0.022,0.0,0.0,24.439,0.82
AMASS,../egodata/downloads/amass/extracted/KIT/KIT/425/upstairs_06_stageii.npz,Agility / High-Dynamic,0.185,0.639,0.0,1.357,1.52
AMASS,../egodata/downloads/amass/extracted/BMLhandball/BMLhandball/S10_Expert/Trial_upper_right_108_poses.npz,Upper-Body Manipulation,0.402,0.0,0.0,2.142,2.37
AMASS,../egodata/downloads/amass/extracted/BMLrub/BioMotionLab_NTroje/rub077/0016_sitting2_poses.npz,Basic Locomotion,1.267,0.0,0.14,1.141,4.42
AMASS,../egodata/downloads/amass/extracted/KIT/KIT/471/Push_Medium01_stageii.npz,Basic Locomotion,0.011,0.0,0.0,1.102,0.22
AMASS,../egodata/downloads/amass/extracted/EKUT/EKUT/234/SLPD209_stageii.npz,Agility / High-Dynamic,1.081,0.657,0.0,1.108,2.19
AMASS,../egodata/downloads/amass/extracted/KIT/KIT/378/push_recovery_stand_left08_stageii.npz,Basic Locomotion,0.519,0.0,0.0,1.519,1.31
AMASS,../egodata/downloads/amass/extracted/CMU/CMU/122/122_15_stageii.npz,Basic Locomotion,0.134,0.0,0.0,1.099,0.6
AMASS,../egodata/downloads/amass/extracted/EyesJapanDataset/Eyes_Japan_Dataset/yamaoka/tennis-18-catch_netball-yamaoka_stageii.npz,Basic Locomotion,0.469,0.003,0.0,1.157,1.39
AMASS,../egodata/downloads/amass/extracted/BMLhandball/BMLhandball/S01_Expert/Trial_upper_left_157_poses.npz,Upper-Body Manipulation,0.3,0.0,0.0,2.065,2.28
AMASS,../egodata/downloads/amass/extracted/GRAB/GRAB/s7/toothbrush_pass_1_stageii.npz,Upper-Body Manipulation,0.16,0.0,0.0,2.516,0.63
AMASS,../egodata/downloads/amass/extracted/BMLrub/BioMotionLab_NTroje/rub034/0014_knocking2_poses.npz,Basic Locomotion,1.428,0.0,0.0,1.068,4.57
AMASS,../egodata/downloads/amass/extracted/BMLmovi/BMLmovi/Subject_71_F_MoSh/Subject_71_F_19_poses.npz,Unstructured / OOD,0.239,0.0,0.546,2.114,1.2
AMASS,../egodata/downloads/amass/extracted/EyesJapanDataset/Eyes_Japan_Dataset/kanno/accident-14-dodge_turn_down-kanno_stageii.npz,Basic Locomotion,0.158,0.0,0.0,1.57,0.43
AMASS,../egodata/downloads/amass/extracted/BMLmovi/BMLmovi/Subject_35_F_MoSh/Subject_35_F_5_poses.npz,Basic Locomotion,0.428,0.0,0.0,0.967,4.2
AMASS,../egodata/downloads/amass/extracted/GRAB/GRAB/s8/pyramidmedium_inspect_1_stageii.npz,Upper-Body Manipulation,0.024,0.0,0.0,9.978,0.15
AMASS,../egodata/downloads/amass/extracted/BMLrub/BioMotionLab_NTroje/rub071/0031_rom_poses.npz,Basic Locomotion,0.065,0.0,0.0,1.737,1.95
AMASS,../egodata/downloads/amass/extracted/BMLhandball/BMLhandball/S07_Expert/Trial_upper_right_left_017_poses.npz,Upper-Body Manipulation,0.259,0.0,0.0,2.46,1.78
AMASS,../egodata/downloads/amass/extracted/KIT/KIT/424/turn_right06_stageii.npz,Basic Locomotion,0.465,0.0,0.0,1.071,0.71
AMASS,../egodata/downloads/amass/extracted/MoSh/MoSh/50020/simple_crouch_3_stageii.npz,Upper-Body Manipulation,0.032,0.0,0.093,4.113,0.76
AMASS,../egodata/downloads/amass/extracted/KIT/KIT/1721/RecoveryStepping_50_120_03_stageii.npz,Basic Locomotion,0.19,0.0,0.0,1.206,0.59
AMASS,../egodata/downloads/amass/extracted/BMLhandball/BMLhandball/S10_Expert/Trial_upper_left_right_193_poses.npz,Upper-Body Manipulation,0.367,0.0,0.0,2.926,2.64
AMASS,../egodata/downloads/amass/extracted/BMLmovi/BMLmovi/Subject_9_F_MoSh/Subject_9_F_13_poses.npz,Upper-Body Manipulation,0.133,0.0,0.0,4.782,1.43
AMASS,../egodata/downloads/amass/extracted/BMLmovi/BMLmovi/Subject_51_F_MoSh/Subject_51_F_11_poses.npz,Basic Locomotion,0.51,0.0,0.298,1.627,2.38
AMASS,../egodata/downloads/amass/extracted/BMLrub/BioMotionLab_NTroje/rub078/0011_normal_jog3_poses.npz,Agility / High-Dynamic,0.224,0.0,0.0,0.764,15.24
AMASS,../egodata/downloads/amass/extracted/BMLrub/BioMotionLab_NTroje/rub050/0008_normal_walk4_poses.npz,Basic Locomotion,0.14,0.0,0.0,0.619,6.55
AMASS,../egodata/downloads/amass/extracted/GRAB/GRAB/s3/cup_drink_1_stageii.npz,Upper-Body Manipulation,0.163,0.0,0.0,2.186,0.51
AMASS,../egodata/downloads/amass/extracted/WEIZMANN/WEIZMANN/67/Normal_CircleCW(1)_stageii.npz,Basic Locomotion,0.572,0.0,0.0,0.919,1.32
AMASS,../egodata/downloads/amass/extracted/BMLrub/BioMotionLab_NTroje/rub041/0029_scamper_rom_poses.npz,Basic Locomotion,0.48,0.0,0.0,1.821,5.05
AMASS,../egodata/downloads/amass/extracted/EyesJapanDataset/Eyes_Japan_Dataset/ichige/walk-07-moonwalk-ichige_stageii.npz,Basic Locomotion,0.077,0.0,0.0,1.504,0.51
AMASS,../egodata/downloads/amass/extracted/BMLmovi/BMLmovi/Subject_77_F_MoSh/Subject_77_F_10_poses.npz,Upper-Body Manipulation,0.017,0.0,0.0,20.859,1.33
AMASS,../egodata/downloads/amass/extracted/CMU/CMU/122/122_35_stageii.npz,Agility / High-Dynamic,0.274,0.435,0.0,0.97,0.77
AMASS,../egodata/downloads/amass/extracted/BMLhandball/BMLhandball/S01_Expert/Trial_upper_left_right_144_poses.npz,Upper-Body Manipulation,0.23,0.0,0.0,3.95,3.08
AMASS,../egodata/downloads/amass/extracted/BMLrub/BioMotionLab_NTroje/rub048/0005_normal_walk1_poses.npz,Basic Locomotion,0.161,0.0,0.0,0.545,5.68
AMASS,../egodata/downloads/amass/extracted/EyesJapanDataset/Eyes_Japan_Dataset/aita/gesture_etc-22-mobile_receive-aita_stageii.npz,Upper-Body Manipulation,0.017,0.0,0.0,9.646,0.13
AMASS,../egodata/downloads/amass/extracted/BMLrub/BioMotionLab_NTroje/rub077/0009_normal_jog1_poses.npz,Agility / High-Dynamic,0.233,0.0,0.0,0.782,14.73
AMASS,../egodata/downloads/amass/extracted/EyesJapanDataset/Eyes_Japan_Dataset/aita/gesture_etc-09-scratch-aita_stageii.npz,Upper-Body Manipulation,0.01,0.0,0.0,12.325,0.11
AMASS,../egodata/downloads/amass/extracted/KIT/KIT/167/downstairs07_stageii.npz,Agility / High-Dynamic,0.28,0.535,0.0,1.107,0.99
AMASS,../egodata/downloads/amass/extracted/KIT/KIT/513/step_stones07_stageii.npz,Basic Locomotion,0.674,0.027,0.0,1.188,1.96
AMASS,../egodata/downloads/amass/extracted/CMU/CMU/36/36_26_stageii.npz,Agility / High-Dynamic,0.357,0.403,0.0,1.119,1.06
AMASS,../egodata/downloads/amass/extracted/BMLrub/BioMotionLab_NTroje/rub017/0008_normal_walk4_poses.npz,Basic Locomotion,0.18,0.0,0.0,0.633,5.95
AMASS,../egodata/downloads/amass/extracted/EyesJapanDataset/Eyes_Japan_Dataset/ichige/soccer-11-dribble_3-ichige_stageii.npz,Basic Locomotion,0.421,0.0,0.0,1.047,1.49
AMASS,../egodata/downloads/amass/extracted/Transitions/Transitions/mazen_c3d/dance_kick_stageii.npz,Basic Locomotion,0.287,0.0,0.0,1.449,1.7
AMASS,../egodata/downloads/amass/extracted/WEIZMANN/WEIZMANN/70/Normal_AFig8CCW(1)_1_stageii.npz,Basic Locomotion,0.41,0.0,0.0,1.025,1.14
AMASS,../egodata/downloads/amass/extracted/BMLmovi/BMLmovi/Subject_6_F_MoSh/Subject_6_F_10_poses.npz,Upper-Body Manipulation,0.022,0.0,0.0,24.773,2.68
AMASS,../egodata/downloads/amass/extracted/BMLhandball/BMLhandball/S01_Expert/Trial_upper_right_left_145_poses.npz,Upper-Body Manipulation,0.236,0.0,0.0,3.37,2.64
AMASS,../egodata/downloads/amass/extracted/BMLrub/BioMotionLab_NTroje/rub059/0005_normal_walk1_poses.npz,Basic Locomotion,0.171,0.0,0.0,0.597,6.38
AMASS,../egodata/downloads/amass/extracted/BMLrub/BioMotionLab_NTroje/rub048/0009_normal_jog1_poses.npz,Agility / High-Dynamic,0.205,0.0,0.0,0.754,15.16
AMASS,../egodata/downloads/amass/extracted/KIT/KIT/317/walking_run02_stageii.npz,Basic Locomotion,0.964,0.0,0.0,1.1,1.62
AMASS,../egodata/downloads/amass/extracted/WEIZMANN/WEIZMANN/70/Mixed_SlowFast(6)_1_stageii.npz,Basic Locomotion,0.886,0.0,0.0,0.99,2.11
AMASS,../egodata/downloads/amass/extracted/EKUT/EKUT/234/SLPD103_stageii.npz,Agility / High-Dynamic,0.827,0.327,0.0,1.036,1.2
AMASS,../egodata/downloads/amass/extracted/BMLrub/BioMotionLab_NTroje/rub067/0027_circle_walk_poses.npz,Basic Locomotion,1.186,0.0,0.0,1.016,5.06
AMASS,../egodata/downloads/amass/extracted/BMLmovi/BMLmovi/Subject_16_F_MoSh/Subject_16_F_4_poses.npz,Upper-Body Manipulation,0.013,0.0,0.0,18.872,0.57
AMASS,../egodata/downloads/amass/extracted/GRAB/GRAB/s5/waterbottle_pick_all_stageii.npz,Upper-Body Manipulation,0.036,0.0,0.0,3.684,0.32
AMASS,../egodata/downloads/amass/extracted/EKUT/EKUT/125/WCC2_stageii.npz,Basic Locomotion,0.398,0.0,0.0,0.958,0.9
AMASS,../egodata/downloads/amass/extracted/KIT/KIT/379/push_recovery_right11_stageii.npz,Basic Locomotion,0.594,0.0,0.0,1.297,1.36
AMASS,../egodata/downloads/amass/extracted/BMLrub/BioMotionLab_NTroje/rub087/0029_jumping2_poses.npz,Agility / High-Dynamic,0.141,0.069,0.0,1.681,4.7
AMASS,../egodata/downloads/amass/extracted/BMLhandball/BMLhandball/S10_Expert/Trial_upper_left_056_poses.npz,Upper-Body Manipulation,0.265,0.0,0.0,3.021,2.04
AMASS,../egodata/downloads/amass/extracted/CMU/CMU/105/105_27_stageii.npz,Basic Locomotion,0.291,0.0,0.0,1.166,0.95
AMASS,../egodata/downloads/amass/extracted/BMLrub/BioMotionLab_NTroje/rub001/0019_jumping2_poses.npz,Agility / High-Dynamic,0.228,0.221,0.0,1.868,9.53
AMASS,../egodata/downloads/amass/extracted/BMLmovi/BMLmovi/Subject_73_F_MoSh/Subject_73_F_16_poses.npz,Agility / High-Dynamic,0.108,0.0,0.0,1.902,8.57
AMASS,../egodata/downloads/amass/extracted/WEIZMANN/WEIZMANN/70/Mixed_FastSlow(23)_1_stageii.npz,Basic Locomotion,0.815,0.0,0.0,0.998,1.89
AMASS,../egodata/downloads/amass/extracted/CMU/CMU/56/56_02_stageii.npz,Upper-Body Manipulation,0.04,0.0,0.0,6.23,1.0
AMASS,../egodata/downloads/amass/extracted/SFU/SFU/0005/0005_Walking001_stageii.npz,Basic Locomotion,0.639,0.0,0.0,0.99,1.32
AMASS,../egodata/downloads/amass/extracted/KIT/KIT/9/bend_left06_stageii.npz,Basic Locomotion,0.431,0.0,0.0,0.997,0.54
AMASS,../egodata/downloads/amass/extracted/KIT/KIT/317/walking_run07_stageii.npz,Basic Locomotion,0.975,0.0,0.0,1.158,1.71
AMASS,../egodata/downloads/amass/extracted/KIT/KIT/424/parkour05_stageii.npz,Basic Locomotion,0.505,0.0,0.0,0.973,0.94
AMASS,../egodata/downloads/amass/extracted/BMLrub/BioMotionLab_NTroje/rub087/0020_lifting_heavy2_poses.npz,Basic Locomotion,1.149,0.0,0.106,1.11,4.01
AMASS,../egodata/downloads/amass/extracted/GRAB/GRAB/s10/stapler_staple_2_stageii.npz,Upper-Body Manipulation,0.114,0.0,0.0,2.861,0.51
