category,name,smpl_path,robot_path
Agility / High-Dynamic,fallAndGetUp2_subject3,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/fallAndGetUp2_subject3.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/fallAndGetUp2_subject3_motion_lib.pkl
Agility / High-Dynamic,fallAndGetUp3_subject1,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/fallAndGetUp3_subject1.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/fallAndGetUp3_subject1_motion_lib.pkl
Agility / High-Dynamic,fight1_subject2,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/fight1_subject2.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/fight1_subject2_motion_lib.pkl
Agility / High-Dynamic,fight1_subject3,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/fight1_subject3.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/fight1_subject3_motion_lib.pkl
Agility / High-Dynamic,fight1_subject5,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/fight1_subject5.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/fight1_subject5_motion_lib.pkl
Agility / High-Dynamic,fightAndSports1_subject1,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/fightAndSports1_subject1.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/fightAndSports1_subject1_motion_lib.pkl
Agility / High-Dynamic,fightAndSports1_subject4,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/fightAndSports1_subject4.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/fightAndSports1_subject4_motion_lib.pkl
Agility / High-Dynamic,ground1_subject1,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/ground1_subject1.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/ground1_subject1_motion_lib.pkl
Agility / High-Dynamic,ground1_subject4,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/ground1_subject4.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/ground1_subject4_motion_lib.pkl
Agility / High-Dynamic,ground1_subject5,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/ground1_subject5.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/ground1_subject5_motion_lib.pkl
Agility / High-Dynamic,ground2_subject2,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/ground2_subject2.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/ground2_subject2_motion_lib.pkl
Agility / High-Dynamic,ground2_subject3,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/ground2_subject3.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/ground2_subject3_motion_lib.pkl
Agility / High-Dynamic,jumps1_subject1,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/jumps1_subject1.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/jumps1_subject1_motion_lib.pkl
Agility / High-Dynamic,jumps1_subject2,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/jumps1_subject2.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/jumps1_subject2_motion_lib.pkl
Agility / High-Dynamic,jumps1_subject5,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/jumps1_subject5.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/jumps1_subject5_motion_lib.pkl
Agility / High-Dynamic,multipleActions1_subject1,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/multipleActions1_subject1.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/multipleActions1_subject1_motion_lib.pkl
Agility / High-Dynamic,multipleActions1_subject2,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/multipleActions1_subject2.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/multipleActions1_subject2_motion_lib.pkl
Agility / High-Dynamic,multipleActions1_subject3,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/multipleActions1_subject3.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/multipleActions1_subject3_motion_lib.pkl
Agility / High-Dynamic,multipleActions1_subject4,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/multipleActions1_subject4.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/multipleActions1_subject4_motion_lib.pkl
Agility / High-Dynamic,obstacles1_subject2,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/obstacles1_subject2.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/obstacles1_subject2_motion_lib.pkl
Agility / High-Dynamic,obstacles2_subject1,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/obstacles2_subject1.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/obstacles2_subject1_motion_lib.pkl
Agility / High-Dynamic,obstacles2_subject2,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/obstacles2_subject2.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/obstacles2_subject2_motion_lib.pkl
Agility / High-Dynamic,obstacles2_subject5,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/obstacles2_subject5.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/obstacles2_subject5_motion_lib.pkl
Agility / High-Dynamic,obstacles3_subject3,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/obstacles3_subject3.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/obstacles3_subject3_motion_lib.pkl
Agility / High-Dynamic,obstacles3_subject4,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/obstacles3_subject4.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/obstacles3_subject4_motion_lib.pkl
Agility / High-Dynamic,obstacles4_subject3,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/obstacles4_subject3.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/obstacles4_subject3_motion_lib.pkl
Agility / High-Dynamic,obstacles4_subject4,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/obstacles4_subject4.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/obstacles4_subject4_motion_lib.pkl
Agility / High-Dynamic,obstacles5_subject2,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/obstacles5_subject2.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/obstacles5_subject2_motion_lib.pkl
Agility / High-Dynamic,obstacles5_subject3,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/obstacles5_subject3.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/obstacles5_subject3_motion_lib.pkl
Agility / High-Dynamic,obstacles5_subject4,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/obstacles5_subject4.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/obstacles5_subject4_motion_lib.pkl
Agility / High-Dynamic,obstacles6_subject1,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/obstacles6_subject1.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/obstacles6_subject1_motion_lib.pkl
Agility / High-Dynamic,obstacles6_subject4,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/obstacles6_subject4.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/obstacles6_subject4_motion_lib.pkl
Agility / High-Dynamic,obstacles6_subject5,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/obstacles6_subject5.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/obstacles6_subject5_motion_lib.pkl
Agility / High-Dynamic,push1_subject2,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/push1_subject2.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/push1_subject2_motion_lib.pkl
Agility / High-Dynamic,pushAndFall1_subject1,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/pushAndFall1_subject1.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/pushAndFall1_subject1_motion_lib.pkl
Agility / High-Dynamic,pushAndFall1_subject4,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/pushAndFall1_subject4.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/pushAndFall1_subject4_motion_lib.pkl
Agility / High-Dynamic,pushAndStumble1_subject2,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/pushAndStumble1_subject2.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/pushAndStumble1_subject2_motion_lib.pkl
Agility / High-Dynamic,pushAndStumble1_subject3,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/pushAndStumble1_subject3.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/pushAndStumble1_subject3_motion_lib.pkl
Agility / High-Dynamic,pushAndStumble1_subject5,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/pushAndStumble1_subject5.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/pushAndStumble1_subject5_motion_lib.pkl
Agility / High-Dynamic,run1_subject2,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/run1_subject2.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/run1_subject2_motion_lib.pkl
Agility / High-Dynamic,run1_subject5,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/run1_subject5.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/run1_subject5_motion_lib.pkl
Agility / High-Dynamic,run2_subject1,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/run2_subject1.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/run2_subject1_motion_lib.pkl
Agility / High-Dynamic,run2_subject4,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/run2_subject4.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/run2_subject4_motion_lib.pkl
Agility / High-Dynamic,sprint1_subject2,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/sprint1_subject2.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/sprint1_subject2_motion_lib.pkl
Agility / High-Dynamic,sprint1_subject4,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/sprint1_subject4.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/sprint1_subject4_motion_lib.pkl
Agility / High-Dynamic,walk2_subject1,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/walk2_subject1.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/walk2_subject1_motion_lib.pkl
Agility / High-Dynamic,walk2_subject3,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/walk2_subject3.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/walk2_subject3_motion_lib.pkl
Agility / High-Dynamic,walk3_subject1,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/walk3_subject1.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/walk3_subject1_motion_lib.pkl
Agility / High-Dynamic,walk3_subject3,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/walk3_subject3.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/walk3_subject3_motion_lib.pkl
Agility / High-Dynamic,walk3_subject4,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/walk3_subject4.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/walk3_subject4_motion_lib.pkl
Basic Locomotion,dance1_subject3,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/dance1_subject3.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/dance1_subject3_motion_lib.pkl
Basic Locomotion,dance2_subject3,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/dance2_subject3.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/dance2_subject3_motion_lib.pkl
Basic Locomotion,dance2_subject4,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/dance2_subject4.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/dance2_subject4_motion_lib.pkl
Basic Locomotion,obstacles1_subject1,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/obstacles1_subject1.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/obstacles1_subject1_motion_lib.pkl
Basic Locomotion,obstacles1_subject5,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/obstacles1_subject5.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/obstacles1_subject5_motion_lib.pkl
Basic Locomotion,obstacles4_subject2,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/obstacles4_subject2.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/obstacles4_subject2_motion_lib.pkl
Basic Locomotion,walk1_subject1,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/walk1_subject1.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/walk1_subject1_motion_lib.pkl
Basic Locomotion,walk1_subject2,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/walk1_subject2.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/walk1_subject2_motion_lib.pkl
Basic Locomotion,walk1_subject5,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/walk1_subject5.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/walk1_subject5_motion_lib.pkl
Basic Locomotion,walk2_subject4,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/walk2_subject4.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/walk2_subject4_motion_lib.pkl
Basic Locomotion,walk3_subject2,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/walk3_subject2.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/walk3_subject2_motion_lib.pkl
Basic Locomotion,walk3_subject5,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/walk3_subject5.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/walk3_subject5_motion_lib.pkl
Basic Locomotion,walk4_subject1,/home/grease/ego_dataset/lafan1_smpl_filtered_FPS50/walk4_subject1.pkl,/home/grease/gamc/storage/test/lafan1_all_retarget_motion_lib/walk4_subject1_motion_lib.pkl
